work_order_id,asset_id,location_id,work_order_type,priority,status,request_channel,created_at,completed_at,assigned_technician_id,planned_hours,labor_cost_usd,parts_cost_usd,total_cost_usd
WO0000001,AST000120,LOC0020,Preventive,P1,Backlog,Auto Alert,2024-12-18 19:59:18,,TECH0009,2.53,154.58,140.41,294.99
WO0000002,AST000615,LOC0020,Preventive,P1,Backlog,Auto Alert,2023-06-14 05:16:44,,TECH0012,9.25,670.96,81.18,752.14
WO0000003,AST001186,LOC0009,Preventive,P3,Closed,Auto Alert,2023-09-10 19:01:05,2023-09-20 19:01:05,TECH0037,4.97,293.32,153.12,446.44
WO0000004,AST001124,LOC0001,Corrective,P3,Closed,Mobile,2024-08-15 22:21:21,2024-09-02 22:21:21,TECH0006,16.2,1098.99,300.73,1399.72
WO0000005,AST000461,LOC0013,Inspection,P2,Closed,Phone,2023-08-17 15:45:41,2023-08-18 15:45:41,TECH0038,6.61,384.71,21.53,406.24
WO0000006,AST000296,LOC0012,Preventive,P3,Closed,Mobile,2024-11-02 03:50:05,2024-11-18 03:50:05,TECH0016,5.38,376.0,24.21,400.21
WO0000007,AST000436,LOC0004,Inspection,P2,Closed,Phone,2025-10-08 15:26:09,2025-10-26 15:26:09,TECH0049,1.87,133.46,197.37,330.83
WO0000008,AST000943,LOC0023,Corrective,P3,Closed,Web,2023-12-01 02:01:00,2023-12-16 02:01:00,TECH0038,5.61,213.67,113.21,326.88
WO0000009,AST000841,LOC0014,Corrective,P3,In Progress,Phone,2024-10-27 14:30:21,,TECH0056,7.56,627.39,71.05,698.44
WO0000010,AST000866,LOC0008,Corrective,P4,Cancelled,Web,2025-09-29 15:45:00,,TECH0068,4.7,395.16,319.52,714.68
WO0000011,AST000791,LOC0020,Preventive,P4,Closed,Mobile,2025-09-05 15:22:56,2025-09-24 15:22:56,TECH0059,2.41,107.63,100.42,208.05
WO0000012,AST001184,LOC0005,Corrective,P2,Closed,Mobile,2023-01-09 10:53:30,2023-01-28 10:53:30,TECH0070,11.32,709.95,162.9,872.85
WO0000013,AST001063,LOC0011,Inspection,P3,In Progress,Web,2023-05-01 16:43:06,,TECH0037,2.27,110.51,14.52,125.03
WO0000014,AST000382,LOC0003,Inspection,P4,Closed,Phone,2025-12-15 21:16:40,2025-12-30 21:16:40,TECH0054,3.38,147.68,71.14,218.82
WO0000015,AST000938,LOC0013,Preventive,P4,Closed,Mobile,2025-10-10 07:18:24,2025-10-17 07:18:24,TECH0066,8.24,602.4,62.18,664.58
WO0000016,AST001023,LOC0022,Corrective,P3,Closed,Web,2023-12-19 11:47:55,2024-01-04 11:47:55,TECH0017,6.82,566.89,95.8,662.69
WO0000017,AST001103,LOC0013,Preventive,P3,Closed,Web,2024-07-23 10:53:45,2024-07-23 10:53:45,TECH0059,1.32,85.5,33.39,118.89
WO0000018,AST000332,LOC0018,Corrective,P3,Closed,Mobile,2024-09-19 05:09:17,2024-10-04 05:09:17,TECH0070,4.32,348.29,324.89,673.18
WO0000019,AST000440,LOC0022,Preventive,P4,Closed,Mobile,2025-01-01 22:07:40,2025-01-04 22:07:40,TECH0024,1.92,112.09,87.46,199.55
WO0000020,AST000550,LOC0001,Preventive,P2,In Progress,Phone,2025-04-01 15:58:17,,TECH0066,10.39,524.73,74.8,599.53
WO0000021,AST000613,LOC0006,Corrective,P2,Closed,Auto Alert,2024-02-13 07:10:02,2024-02-17 07:10:02,TECH0029,4.6,281.08,227.81,508.89
WO0000022,AST000579,LOC0011,Inspection,P4,Backlog,Phone,2025-09-01 11:26:27,,TECH0046,4.12,235.54,86.18,321.72
WO0000023,AST001108,LOC0018,Preventive,P3,Closed,Phone,2023-03-06 18:12:27,2023-03-08 18:12:27,TECH0005,7.15,495.44,206.77,702.21
WO0000024,AST000843,LOC0015,Corrective,P1,Closed,Web,2023-02-05 12:22:51,2023-02-05 12:22:51,TECH0002,2.63,199.55,211.46,411.01
WO0000025,AST000489,LOC0007,Corrective,P2,Closed,Mobile,2025-11-14 23:30:56,2025-11-14 23:30:56,TECH0056,6.73,359.77,247.79,607.56
WO0000026,AST000298,LOC0015,Emergency,P3,Backlog,Web,2023-07-14 00:09:59,,TECH0018,2.62,134.82,269.98,404.8
WO0000027,AST000120,LOC0020,Corrective,P3,Closed,Phone,2025-12-25 02:02:38,2026-01-10 02:02:38,TECH0056,7.39,545.31,92.92,638.23
WO0000028,AST000404,LOC0002,Preventive,P3,Closed,Mobile,2023-11-10 03:03:05,2023-11-14 03:03:05,TECH0034,4.1,252.15,249.58,501.73
WO0000029,AST001100,LOC0019,Preventive,P2,Closed,Mobile,2024-02-04 04:17:28,2024-02-08 04:17:28,TECH0007,9.55,695.15,103.06,798.21
WO0000030,AST001171,LOC0022,Corrective,P2,Cancelled,Web,2023-01-31 15:15:52,,TECH0021,9.1,516.6,614.95,1131.55
WO0000031,AST000996,LOC0012,Preventive,P3,Cancelled,Auto Alert,2025-10-30 12:50:57,,TECH0014,7.27,424.74,190.8,615.54
WO0000032,AST000784,LOC0019,Emergency,P1,In Progress,Auto Alert,2024-01-29 10:22:17,,TECH0043,13.96,1050.53,102.99,1153.52
