failure_event_id,asset_id,location_id,event_time,failure_mode,suspected_cause,weather_context,downtime_hours,linked_work_order_id
FE0000001,AST000681,LOC0025,2025-05-13 19:18:43,Door fault,Improper Adjustment,Clear,8.15,
FE0000002,AST000459,LOC0014,2025-09-19 10:54:13,Bond wire issue,Wear & Tear,Rain,3.85,WO0002738
FE0000003,AST000284,LOC0018,2025-03-24 10:36:43,Propulsion fault,Wear & Tear,Clear,6.07,WO0007123
FE0000004,AST000328,LOC0012,2023-07-14 09:31:32,Short circuit,Unknown,Clear,10.63,
FE0000005,AST000187,LOC0013,2023-08-26 00:07:59,Track circuit failure,Design Limitation,Rain,12.63,WO0007024
FE0000006,AST000542,LOC0011,2024-02-13 20:13:27,HVAC failure,Unknown,Rain,25.2,
FE0000007,AST000011,LOC0025,2023-06-12 09:37:31,Alignment issue,Water Ingress,Clear,3.36,WO0006124
FE0000008,AST000961,LOC0009,2025-10-09 15:22:41,Brake issue,Power Quality,Rain,11.53,WO0003466
FE0000009,AST000363,LOC0023,2025-10-28 19:20:04,Motor failure,Power Quality,Rain,5.99,WO0008366
FE0000010,AST001131,LOC0003,2024-01-21 05:43:44,Control board fault,Water Ingress,Clear,2.43,
FE0000011,AST000080,LOC0007,2024-08-01 21:28:24,Door fault,Water Ingress,High Humidity,11.72,WO0004010
FE0000012,AST001066,LOC0004,2023-02-09 02:36:35,Track circuit failure,Wear & Tear,Rain,5.79,WO0006903
FE0000013,AST000087,LOC0003,2023-07-17 22:13:09,Water intrusion,Vandalism,High Humidity,8.0,
FE0000014,AST000921,LOC0015,2024-12-21 19:15:19,Step chain issue,Wear & Tear,Rain,10.0,
FE0000015,AST000745,LOC0019,2025-11-02 07:28:04,Handrail failure,Wear & Tear,Heat Wave,4.15,WO0008824
FE0000016,AST000800,LOC0015,2025-04-27 21:49:33,Control board fault,Water Ingress,Rain,9.43,
FE0000017,AST000436,LOC0004,2024-08-12 14:26:58,Water intrusion,Debris,High Humidity,9.37,
FE0000018,AST000032,LOC0005,2024-04-25 18:31:10,Insulation breakdown,Improper Adjustment,Clear,9.3,WO0004069
FE0000019,AST000665,LOC0020,2024-01-02 16:47:47,Relay failure,Design Limitation,Rain,6.1,WO0007843
FE0000020,AST000524,LOC0021,2025-04-06 10:54:53,Propulsion fault,Wear & Tear,High Humidity,7.06,WO0004842
FE0000021,AST000395,LOC0003,2024-12-06 21:54:44,Obstruction,Wear & Tear,Clear,5.9,
FE0000022,AST000448,LOC0007,2025-01-04 17:28:13,Brake issue,Wear & Tear,Snow,5.78,
FE0000023,AST001029,LOC0019,2024-10-29 13:27:42,Bond wire issue,Wear & Tear,Clear,1.51,
FE0000024,AST000197,LOC0008,2023-11-20 04:14:01,Sensor fault,Wear & Tear,High Humidity,1.55,WO0005699
FE0000025,AST001017,LOC0015,2024-07-10 15:39:31,Relay failure,Vandalism,High Humidity,14.71,WO0001571
FE0000026,AST000079,LOC0014,2023-08-15 18:41:12,Control failure,Wear & Tear,Rain,3.61,
FE0000027,AST000888,LOC0001,2025-07-28 11:12:26,Sensor fault,Wear & Tear,Heat Wave,5.44,WO0004390
FE0000028,AST000453,LOC0012,2024-07-24 04:34:40,Motor failure,Power Quality,Clear,4.93,WO0001795
FE0000029,AST000193,LOC0011,2025-02-25 07:15:36,Handrail failure,Wear & Tear,High Humidity,9.4,
FE0000030,AST000311,LOC0016,2023-11-27 04:46:50,Handrail failure,Water Ingress,Rain,9.07,WO0003714
FE0000031,AST000721,LOC0010,2025-02-11 23:27:21,Track circuit failure,Wear & Tear,Clear,5.48,
FE0000032,AST000961,LOC0009,2024-10-12 18:08:38,HVAC failure,Wear & Tear,Clear,13.81,WO0003466
FE0000033,AST000831,LOC0017,2023-05-31 19:34:39,Step chain issue,Vandalism,Clear,3.26,WO0006559
FE0000034,AST000494,LOC0005,2025-12-16 04:18:05,Insulation breakdown,Debris,Clear,5.94,
FE0000035,AST000944,LOC0006,2024-10-22 07:47:50,Insulation breakdown,Wear & Tear,Clear,4.96,
